,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
68,AAMC,2017-05-03,71.05,71.75,67.65,70.55,3567.0,0.0,1.0,71.05,71.75,67.65,70.55,3567.0
69,AAMC,2017-05-04,69.15,69.65,67.35,69.65,4008.0,0.0,1.0,69.15,69.65,67.35,69.65,4008.0
70,AAMC,2017-05-05,70.2801,71.7,65.75,71.7,7582.0,0.0,1.0,70.2801,71.7,65.75,71.7,7582.0
71,AAMC,2017-05-08,71.6,74.15,71.6,74.15,707.0,0.0,1.0,71.6,74.15,71.6,74.15,707.0
72,AAMC,2017-05-09,72.35,75.5,71.35,75.5,4017.0,0.0,1.0,72.35,75.5,71.35,75.5,4017.0
73,AAMC,2017-05-10,75.7,75.7,73.65,74.0,23154.0,0.0,1.0,75.7,75.7,73.65,74.0,23154.0
74,AAMC,2017-05-11,71.1,71.95,71.1,71.95,3578.0,0.0,1.0,71.1,71.95,71.1,71.95,3578.0
75,AAMC,2017-05-12,70.05,71.7,70.05,70.15,1517.0,0.0,1.0,70.05,71.7,70.05,70.15,1517.0
76,AAMC,2017-05-15,69.6,76.0,69.6,73.45,4919.0,0.0,1.0,69.6,76.0,69.6,73.45,4919.0
77,AAMC,2017-05-16,74.2,76.95,74.2,75.6,4639.0,0.0,1.0,74.2,76.95,74.2,75.6,4639.0
78,AAMC,2017-05-17,75.85,76.1,72.7,73.05,19673.0,0.0,1.0,75.85,76.1,72.7,73.05,19673.0
79,AAMC,2017-05-18,70.6,75.0,70.6,73.5,1121.0,0.0,1.0,70.6,75.0,70.6,73.5,1121.0
80,AAMC,2017-05-19,75.0,75.0,74.75,74.75,508.0,0.0,1.0,75.0,75.0,74.75,74.75,508.0
81,AAMC,2017-05-22,70.95,75.0,70.95,74.95,908.0,0.0,1.0,70.95,75.0,70.95,74.95,908.0
82,AAMC,2017-05-23,74.65,83.0,74.65,78.55,9273.0,0.0,1.0,74.65,83.0,74.65,78.55,9273.0
83,AAMC,2017-05-24,80.25,93.0,80.25,89.0,21218.0,0.0,1.0,80.25,93.0,80.25,89.0,21218.0
84,AAMC,2017-05-25,89.6,92.35,87.5001,91.95,15228.0,0.0,1.0,89.6,92.35,87.5001,91.95,15228.0
85,AAMC,2017-05-26,92.05,96.7,88.65,90.25,17422.0,0.0,1.0,92.05,96.7,88.65,90.25,17422.0
86,AAMC,2017-05-30,90.05,92.0,88.4,90.0,4834.0,0.0,1.0,90.05,92.0,88.4,90.0,4834.0
87,AAMC,2017-05-31,85.0,92.6,81.8,91.0,21372.0,0.0,1.0,85.0,92.6,81.8,91.0,21372.0
88,AAN,2017-05-01,36.4,37.27,36.11,36.74,1657136.0,0.0,1.0,36.3514563686,37.2202961225,36.0618431173,36.6910029391,1657136.0
89,AAN,2017-05-02,36.46,37.54,36.13,37.15,1475064.0,0.0,1.0,36.4113763517,37.4899360461,36.081816445,37.1004561564,1475064.0
90,AAN,2017-05-03,37.06,37.67,36.87,37.31,732554.0,0.0,1.0,37.0105761819,37.619762676,36.820829569,37.2602427778,732554.0
91,AAN,2017-05-04,37.37,37.455,36.32,36.38,936701.0,0.0,1.0,37.3201627609,37.4050494035,36.2715630579,36.3314830409,936701.0
92,AAN,2017-05-05,36.48,36.52,36.04,36.39,746598.0,0.0,1.0,36.4313496793,36.4712963347,35.9919364705,36.3414697048,746598.0
93,AAN,2017-05-08,36.52,36.84,36.0,36.1,529877.0,0.0,1.0,36.4712963347,36.7908695775,35.9519898151,36.0518564535,529877.0
94,AAN,2017-05-09,36.11,36.46,35.96,36.19,427615.0,0.0,1.0,36.0618431173,36.4113763517,35.9120431598,36.141736428,427615.0
95,AAN,2017-05-10,36.18,36.41,35.73,36.25,612007.0,0.0,1.0,36.1317497642,36.3614430325,35.6823498915,36.2016564111,612007.0
96,AAN,2017-05-11,35.94,36.13,35.16,35.18,963541.0,0.0,1.0,35.8920698321,36.081816445,35.1131100528,35.1330833804,963541.0
97,AAN,2017-05-12,35.0,35.24,34.68,35.0,503395.0,0.0,1.0,34.9533234314,35.1930033635,34.6337501886,34.9533234314,503395.0
98,AAN,2017-05-15,35.0,35.36,34.71,34.85,373348.0,0.0,1.0,34.9533234314,35.3128433295,34.6637101801,34.8035234738,373348.0
99,AAN,2017-05-16,34.77,35.17,34.3,35.03,594703.0,0.0,1.0,34.7236301631,35.1230967166,34.2542569627,34.9832834229,594703.0
100,AAN,2017-05-17,34.44,35.35,34.44,35.06,722568.0,0.0,1.0,34.3940702565,35.3028566657,34.3940702565,35.0132434144,722568.0
101,AAN,2017-05-18,35.07,35.32,34.66,34.95,924828.0,0.0,1.0,35.0232300782,35.2728966742,34.6137768609,34.9033901122,924828.0
102,AAN,2017-05-19,35.13,35.22,34.58,34.58,416061.0,0.0,1.0,35.0831500613,35.1730300358,34.5338835502,34.5338835502,416061.0
103,AAN,2017-05-22,34.66,34.96,34.44,34.81,374099.0,0.0,1.0,34.6137768609,34.913376776,34.3940702565,34.7635768185,374099.0
104,AAN,2017-05-23,34.86,35.07,34.36,34.37,391351.0,0.0,1.0,34.8135101376,35.0232300782,34.3141769458,34.3241636096,391351.0
105,AAN,2017-05-24,34.41,34.9943,34.025,34.86,414956.0,0.0,1.0,34.364110265,34.947631033,33.9796237072,34.8135101376,414956.0
106,AAN,2017-05-25,35.23,35.77,35.07,35.55,615123.0,0.0,1.0,35.1830166996,35.7222965469,35.0232300782,35.5025899424,615123.0
107,AAN,2017-05-26,35.64,35.93,35.31,35.93,618785.0,0.0,1.0,35.592469917,35.8820831683,35.2629100103,35.8820831683,618785.0
108,AAN,2017-05-30,35.78,36.275,35.71,36.11,650690.0,0.0,1.0,35.7322832107,36.2266230707,35.6623765638,36.0618431173,650690.0
109,AAN,2017-05-31,36.21,36.56,35.71,36.52,557704.0,0.0,1.0,36.1617097557,36.51124299,35.6623765638,36.4712963347,557704.0
110,AAOI,2017-05-01,50.25,52.1,49.3301,50.13,3231276.0,0.0,1.0,50.25,52.1,49.3301,50.13,3231276.0
111,AAOI,2017-05-02,49.98,50.3,46.27,47.3,2595808.0,0.0,1.0,49.98,50.3,46.27,47.3,2595808.0
